Event	ID	Name			Wwise Object Path	Notes
	437304868	Robot_Kill_or_Hit_Player			\Default Work Unit\Dialogue\Enemy\Robot_Kill_or_Hit_Player	
	1027391417	Searching_For_Human			\Default Work Unit\Dialogue\Enemy\Searching_For_Human	
	1799648038	Goblin_Detect			\Default Work Unit\Dialogue\Enemy\Goblin_Detect	
	2106428477	Human_Detected			\Default Work Unit\Dialogue\Enemy\Human_Detected	
	3122074043	Robot_Insult			\Default Work Unit\Dialogue\Enemy\Robot_Insult	
	3344543189	Human_Lost			\Default Work Unit\Dialogue\Enemy\Human_Lost	
	3456469455	Goblin_Lost_Sight			\Default Work Unit\Dialogue\Enemy\Goblin_Lost_Sight	
	3701845373	Intro_Script			\Default Work Unit\Dialogue\Intro\Intro_Script	
	3732585223	Goblin_Death_Sound			\Default Work Unit\Dialogue\Enemy\Goblin_Death_Sound	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	577004435	HumanDetected_Robot1	C:\Users\chris\OneDrive\Documents\GitHub\GJL_Jam_2021\Game_Jam_Project\.cache\Windows\SFX\HumanDetected_Robot1_10C4C929.wem		\Actor-Mixer Hierarchy\Dialgoue\Voice\Enemy\Robot\Human_Detected\HumanDetected_Robot1		274964
	585659336	RobotKillorHitPlayer1	C:\Users\chris\OneDrive\Documents\GitHub\GJL_Jam_2021\Game_Jam_Project\.cache\Windows\SFX\RobotKillorHitPlayer1_10C4C929.wem		\Actor-Mixer Hierarchy\Dialgoue\Voice\Enemy\Robot\Robot_Kill_or_Hit_Player\RobotKillorHitPlayer1		1599540
	589124662	GoblinDeath9	C:\Users\chris\OneDrive\Documents\GitHub\GJL_Jam_2021\Game_Jam_Project\.cache\Windows\SFX\GoblinDeath9_10C4C929.wem		\Actor-Mixer Hierarchy\Dialgoue\Voice\Enemy\Goblin\Goblin_Death_Sound\GoblinDeath9		101716
	641934203	GoblinDeath1	C:\Users\chris\OneDrive\Documents\GitHub\GJL_Jam_2021\Game_Jam_Project\.cache\Windows\SFX\GoblinDeath1_10C4C929.wem		\Actor-Mixer Hierarchy\Dialgoue\Voice\Enemy\Goblin\Goblin_Death_Sound\GoblinDeath1		95416
	707225415	GoblinDeath10	C:\Users\chris\OneDrive\Documents\GitHub\GJL_Jam_2021\Game_Jam_Project\.cache\Windows\SFX\GoblinDeath10_10C4C929.wem		\Actor-Mixer Hierarchy\Dialgoue\Voice\Enemy\Goblin\Goblin_Death_Sound\GoblinDeath10		107228
	707789392	RobotKillorHitPlayer2	C:\Users\chris\OneDrive\Documents\GitHub\GJL_Jam_2021\Game_Jam_Project\.cache\Windows\SFX\RobotKillorHitPlayer2_10C4C929.wem		\Actor-Mixer Hierarchy\Dialgoue\Voice\Enemy\Robot\Robot_Kill_or_Hit_Player\RobotKillorHitPlayer2		1627892
	787256433	GoblinDeath8	C:\Users\chris\OneDrive\Documents\GitHub\GJL_Jam_2021\Game_Jam_Project\.cache\Windows\SFX\GoblinDeath8_10C4C929.wem		\Actor-Mixer Hierarchy\Dialgoue\Voice\Enemy\Goblin\Goblin_Death_Sound\GoblinDeath8		132428
	793359449	GoblinLostSight2	C:\Users\chris\OneDrive\Documents\GitHub\GJL_Jam_2021\Game_Jam_Project\.cache\Windows\SFX\GoblinLostSight2_10C4C929.wem		\Actor-Mixer Hierarchy\Dialgoue\Voice\Enemy\Goblin\Goblin_Lost_Sight\GoblinLostSight2		334028
	799060511	GoblinDeath6	C:\Users\chris\OneDrive\Documents\GitHub\GJL_Jam_2021\Game_Jam_Project\.cache\Windows\SFX\GoblinDeath6_10C4C929.wem		\Actor-Mixer Hierarchy\Dialgoue\Voice\Enemy\Goblin\Goblin_Death_Sound\GoblinDeath6		125340
	825193370	GoblinDetect4	C:\Users\chris\OneDrive\Documents\GitHub\GJL_Jam_2021\Game_Jam_Project\.cache\Windows\SFX\GoblinDetect4_10C4C929.wem		\Actor-Mixer Hierarchy\Dialgoue\Voice\Enemy\Goblin\Goblin_Detect\GoblinDetect4		186764
	894092970	CalculatorTimesABillion1_Robot	C:\Users\chris\OneDrive\Documents\GitHub\GJL_Jam_2021\Game_Jam_Project\.cache\Windows\SFX\CalculatorTimesABillion1_Robot_10C4C929.wem		\Actor-Mixer Hierarchy\Dialgoue\Voice\Enemy\Robot\Robot_Insult\CalculatorTimesABillion1_Robot		1270364
	925922109	GreatestSuperComputer_Robot1	C:\Users\chris\OneDrive\Documents\GitHub\GJL_Jam_2021\Game_Jam_Project\.cache\Windows\SFX\GreatestSuperComputer_Robot1_10C4C929.wem		\Actor-Mixer Hierarchy\Dialgoue\Voice\Enemy\Robot\Robot_Insult\GreatestSuperComputer_Robot1		853776
	997357392	GoblinDeath2	C:\Users\chris\OneDrive\Documents\GitHub\GJL_Jam_2021\Game_Jam_Project\.cache\Windows\SFX\GoblinDeath2_10C4C929.wem		\Actor-Mixer Hierarchy\Dialgoue\Voice\Enemy\Goblin\Goblin_Death_Sound\GoblinDeath2		107228
	1023815843	SearchingForHuman1_Robot	C:\Users\chris\OneDrive\Documents\GitHub\GJL_Jam_2021\Game_Jam_Project\.cache\Windows\SFX\SearchingForHuman1_Robot_10C4C929.wem		\Actor-Mixer Hierarchy\Dialgoue\Voice\Enemy\Robot\Searching_For_Human\SearchingForHuman1_Robot		318280
	1027266650	GoblinDetect3	C:\Users\chris\OneDrive\Documents\GitHub\GJL_Jam_2021\Game_Jam_Project\.cache\Windows\SFX\GoblinDetect3_10C4C929.wem		\Actor-Mixer Hierarchy\Dialgoue\Voice\Enemy\Goblin\Goblin_Detect\GoblinDetect3		466328

